City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Eldorado,BR,85.42,broken clouds,-23.7869,-54.2836,Villa Verde Hotel
494,Witu,KE,82.4,clear sky,-2.3889,40.4382,New City Guest House
495,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
497,Tatawin,TN,71.6,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
503,Rio Casca,BR,81.57,broken clouds,-20.2261,-42.6508,Hotel Morada do Sol
504,Mocuba,MZ,74.55,light rain,-16.8392,36.9856,Phama Lodge
505,Abu Dhabi,AE,80.6,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
506,Cabedelo,BR,86.0,broken clouds,-6.9811,-34.8339,Hotel Pigalle
507,Hirara,JP,71.67,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
508,Manokwari,ID,78.42,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
512,Auki,SB,77.45,broken clouds,-8.7676,160.7034,Auki Motel
514,Palmeiras De Goias,BR,80.58,overcast clouds,-16.805,-49.9258,Hotel Água Virada
515,Lazaro Cardenas,MX,86.61,clear sky,17.9583,-102.2,Hotel Quinta Antigua
518,Bentiu,SS,92.64,broken clouds,9.2333,29.8333,Mandela hôtel
519,Dolores,AR,74.48,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
522,Ormara,PK,76.12,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
526,Tignere,CM,71.04,overcast clouds,7.3667,12.65,SADECK
530,Promissao,BR,85.6,scattered clouds,-21.5367,-49.8581,Recanto Monte Cristo
534,Pyapon,MM,71.94,clear sky,16.2833,95.6833,Aung Naing Thu Motel
541,Jalu,LY,77.43,clear sky,29.0331,21.5482,صاحبة الفخامة
542,Chiredzi,ZW,77.09,clear sky,-21.05,31.6667,The Nesbitt Arms
544,Manavalakurichi,IN,86.0,haze,8.1333,77.3,Udaya Boys Hostel
545,Bela,IN,79.48,broken clouds,25.9333,81.9833,Raj Bhawan
549,Pringsewu,ID,74.84,overcast clouds,-5.3582,104.9744,Urban Style by Front One
551,Samarai,PG,81.95,clear sky,-10.6167,150.6667,Nuli Sapi
554,Conakry,GN,80.01,clear sky,9.538,-13.6773,Riviera Royal Hotel
559,Roebourne,AU,78.13,clear sky,-20.7833,117.1333,Harding River Caravan Park
560,Kawalu,ID,72.75,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
561,Tabalosos,PE,82.4,overcast clouds,-6.35,-76.6833,Proyecto de Lounge Nazareth
562,Asosa,ET,75.36,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
564,San Pedro,PH,82.99,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
567,Maraba,BR,82.4,light rain,-5.3686,-49.1178,Hotel Del Principe
568,Harper,LR,82.69,clear sky,4.375,-7.7169,Screensaver
572,Rocha,UY,72.32,clear sky,-34.4833,-54.3333,Beleza Pura B&B
589,Sechura,PE,84.38,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
592,Luanda,AO,86.0,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
593,Reconquista,AR,78.48,broken clouds,-29.15,-59.65,Grand Hotel
595,Ugoofaaru,MV,83.08,scattered clouds,5.6667,73.0,Ungoofaaru Inn
597,Jizan,SA,84.2,few clouds,17.3333,42.6667,شهدان. ابوالحجر
600,Carora,VE,85.62,scattered clouds,10.1755,-70.0827,Hotel Irpinia
601,Port Blair,IN,79.92,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
605,Abu Zabad,SD,89.28,broken clouds,12.35,29.25,حامد محمد نور
606,Hoskote,IN,75.2,clear sky,13.0669,77.7983,Hotel LG PARK
607,Marica,BR,87.8,few clouds,-22.9194,-42.8186,Marica Hills
610,Camana,PE,75.29,broken clouds,-16.6228,-72.7111,Hostal Morales
613,Daru,PG,78.35,overcast clouds,-9.0763,143.2092,Daru Lodge
614,Farafangana,MG,78.04,overcast clouds,-22.8167,47.8333,Miarina
618,Riyadh,SA,86.0,clear sky,24.6877,46.7219,InterContinental Riyadh
619,Sandakan,MY,80.6,few clouds,5.8402,118.1179,Hotel Sandakan
624,Champasak,LA,80.4,scattered clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
625,Banda Aceh,ID,79.93,overcast clouds,5.5577,95.3222,Sulthan Hotel International
626,Le Port,RE,78.8,overcast clouds,-20.9373,55.2919,Villa Maido
627,Road Town,VG,82.4,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
629,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
632,Atambua,ID,73.17,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
633,Vallenar,CL,76.84,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
635,Ixtapa,MX,73.4,clear sky,20.7,-105.2,Hotel Plaza Providencia
636,Muisne,EC,84.2,scattered clouds,0.6,-80.0333,Quinta Samay
638,Barreiras,BR,81.41,light rain,-12.1528,-44.99,Príncipe Hotel
639,Bandar-E Lengeh,IR,77.0,clear sky,26.5579,54.8807,کافی نت پارس
640,Lotofaga,WS,73.4,light rain,-13.9764,-171.8578,Sataoa Beach Fales
