City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Novikovo,RU,2021-01-30 21:07:21,51.1537,37.8879,36.19,97,100,14.2
164,Upernavik,GL,2021-01-30 21:07:22,72.7868,-56.1549,-9.85,85,4,7.05
165,Aasiaat,GL,2021-01-30 21:07:22,68.7098,-52.8699,-1.3,88,88,6.22
166,Tahta,EG,2021-01-30 21:07:22,26.7693,31.5021,53.6,50,0,3.44
167,Pitimbu,BR,2021-01-30 21:07:22,-7.4706,-34.8086,80.6,78,20,10.36
168,Luena,AO,2021-01-30 21:07:22,-11.7833,19.9167,63.99,95,100,4.0
169,Svetlaya,RU,2021-01-30 21:07:22,46.5389,138.3297,0.19,82,100,12.1
170,Mombetsu,JP,2021-01-30 21:07:23,44.3525,143.3525,19.0,81,100,3.0
171,Bonthe,SL,2021-01-30 21:03:08,7.5264,-12.505,79.32,80,87,8.03
172,Byron Bay,AU,2021-01-30 21:05:03,-28.65,153.6167,73.4,88,75,1.14
173,Isangel,VU,2021-01-30 21:07:23,-19.55,169.2667,75.2,88,75,15.23
174,Bambous Virieux,MU,2021-01-30 21:06:27,-20.3428,57.7575,78.8,89,75,8.05
175,Aklavik,CA,2021-01-30 21:07:23,68.2191,-135.0107,-20.2,76,75,2.3
176,Half Moon Bay,US,2021-01-30 21:07:23,37.4636,-122.4286,60.01,76,90,6.91
177,Copperas Cove,US,2021-01-30 21:07:24,31.1241,-97.9031,79.0,23,1,20.71
178,Pisco,PE,2021-01-30 21:07:24,-13.7,-76.2167,77.0,65,0,13.8
179,Athabasca,CA,2021-01-30 21:07:24,54.7169,-113.2854,3.2,78,0,5.17
180,Dakar,SN,2021-01-30 21:05:05,14.6937,-17.4441,69.8,68,100,13.8
181,Moletai,LT,2021-01-30 21:07:24,55.2333,25.4167,25.0,93,75,9.22
182,Yichang,CN,2021-01-30 21:07:25,30.7144,111.2847,45.0,69,81,1.54
183,Narsaq,GL,2021-01-30 21:07:25,60.9167,-46.05,41.0,33,75,35.68
184,Ardesen,TR,2021-01-30 21:07:25,41.1911,40.9875,51.8,46,0,19.57
185,Banda Aceh,ID,2021-01-30 21:07:25,5.5577,95.3222,76.51,81,80,12.26
186,Halifax,CA,2021-01-30 21:03:08,44.6453,-63.5724,26.6,54,100,9.22
187,Atikokan,CA,2021-01-30 21:07:25,48.7555,-91.6216,25.54,98,100,9.71
188,Ermoupolis,GR,2021-01-30 21:07:25,37.4423,24.9425,57.0,58,4,6.91
189,Hobyo,SO,2021-01-30 21:07:26,5.3505,48.5268,75.51,78,7,15.12
190,Steamboat Springs,US,2021-01-30 21:03:54,40.485,-106.8317,30.0,93,90,9.22
191,Kant,IN,2021-01-30 21:04:26,27.8,79.8,47.84,52,0,5.99
192,Longyearbyen,SJ,2021-01-30 21:06:52,78.2186,15.6401,-2.2,60,20,19.57
193,Geraldton,AU,2021-01-30 21:07:03,-28.7667,114.6,82.4,28,0,10.36
194,Sidney,AU,2021-01-30 21:04:10,-33.8679,151.2073,72.0,88,75,20.71
195,Victoria,HK,2021-01-30 21:05:10,22.2855,114.1577,62.01,72,17,16.58
196,Tuktoyaktuk,CA,2021-01-30 21:07:27,69.4541,-133.0374,-34.6,67,40,1.45
197,Teguldet,RU,2021-01-30 21:07:27,57.3064,88.1667,-28.01,84,0,3.6
198,Bethel,US,2021-01-30 21:07:27,41.3712,-73.414,28.4,34,1,9.22
199,Andover,GB,2021-01-30 21:07:27,51.2083,-1.4825,39.99,93,75,19.57
200,Samur,RU,2021-01-30 21:07:27,41.8253,48.486,40.98,90,100,1.66
201,Saint George,US,2021-01-30 21:07:27,37.1041,-113.5841,50.0,57,1,3.44
202,Qaqortoq,GL,2021-01-30 21:07:27,60.7167,-46.0333,41.0,33,75,35.68
203,Grindavik,IS,2021-01-30 21:07:28,63.8424,-22.4338,23.0,74,20,8.05
204,Avera,US,2021-01-30 21:07:28,33.194,-82.5271,51.8,40,90,6.91
205,Dunmore East,IE,2021-01-30 21:07:28,52.1514,-6.9861,42.01,82,75,8.05
206,Sorland,NO,2021-01-30 21:07:28,67.667,12.6934,31.28,92,55,8.57
207,Asfi,MA,2021-01-30 21:07:28,32.2994,-9.2372,60.03,84,91,9.6
